Filename,Grammatical Error Percentage,Readability Score,Average Sentence Length,Repetitive Words Count,Repetitive Words List (limited),Repetitive Words List (full),AI Content Percentage,Generic Content Percentage
AIML-5.pdf,96.93,55.44,30.96268656716418,369,"computational: 3, technology: 2, number: 21, research: 4, india: 3, study: 8, speech: 41, quality: 32, improvement: 10, processed: 18...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-5.pdf_repetitive_words_full_list.txt,2.55,0.15
AIML-50.pdf,25.07,41.5,21.907120743034056,680,"progressing: 3, towards: 11, responsible: 21, teresa: 2, scantamburlo: 2, atia: 2, abstract: 2, ﬁeld: 12, artiﬁcial: 7, intelligence: 9...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-50.pdf_repetitive_words_full_list.txt,2.61,0.12
AIML-51.pdf,37.17,47.28,16.990697674418605,1082,"type: 5, systematic: 8, review: 29, published: 14, october: 2, 2022: 8, 10.3389/frai.2022.976838: 18, open: 2, access: 7, king: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-51.pdf_repetitive_words_full_list.txt,1.97,0.14
AIML-52.pdf,19.11,48.5,16.009049773755656,561,"series: 17, materials: 17, science: 18, engineering: 19, paper: 13, open: 2, machine: 44, learning: 39, classification: 36, techniques: 26...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-52.pdf_repetitive_words_full_list.txt,2.18,0.14
AIML-53.pdf,18.56,36.89,17.51937984496124,1240,"managing: 10, vulnerabilities: 96, ai/ml: 9, systems: 61, jonathan: 8, spring: 18, cert®: 4, coordination: 15, center: 5, software: 47...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-53.pdf_repetitive_words_full_list.txt,2.21,0.26
AIML-54.pdf,11.01,43.22,18.098445595854923,368,"hep-ex: 3, 2022: 2, simulation: 29, with: 28, ai/ml: 15, bridging: 2, systematic: 19, between: 8, simulated: 15, real: 22...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-54.pdf_repetitive_words_full_list.txt,3.07,0.18
AIML-55.pdf,27.51,46.78,17.41826923076923,382,"2020: 8, data: 68, power: 4, bias: 51, artiﬁcial: 9, intelligence: 8, barry: 2, information: 5, studies: 6, university: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-55.pdf_repetitive_words_full_list.txt,2.9,0.27
AIML-56.pdf,58.87,50.53,4.872569548309901,1170,"journal: 20, infection: 17, public: 17, health: 27, 2020: 41, 1274–1289: 16, contents: 3, available: 8, http: 28, review: 12...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-56.pdf_repetitive_words_full_list.txt,35.26,0.14
AIML-57.pdf,93.05,46.51,26.92436974789916,498,"active: 41, learning: 57, strategies: 25, multi-label: 15, text: 28, classiﬁcation: 25, esuli: 7, sebastiani: 8, refers: 2, task: 6...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-57.pdf_repetitive_words_full_list.txt,2.15,0.25
AIML-58.pdf,49.84,65.01,18.64041095890411,902,"under: 22, review: 25, conference: 40, paper: 24, iclr: 22, 2023: 21, continual: 21, active: 52, learning: 117, while: 16...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Research Papers\AIML-58.pdf_repetitive_words_full_list.txt,2.24,0.1
