Filename,Grammatical Error Percentage,Readability Score,Average Sentence Length,Repetitive Words Count,Repetitive Words List (limited),Repetitive Words List (full),AI Content Percentage,Generic Content Percentage
BC 57.pdf,5.85,47.59,16.408560311284045,370,"decent: 50, josef: 2, november: 2, introduction: 2, blokchain: 2, manipulation: 6, freedom: 7, speech: 10, historical: 3, approach: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 57.pdf_repetitive_words_full_list.txt,2.51,0.2
BC 58.pdf,28.03,46.57,25.729542302357835,1278,"proof: 71, existence: 59, using: 72, service: 61, hash: 86, website: 63, towards: 10, blockchain: 297, interoperability: 153, business: 62...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 58.pdf_repetitive_words_full_list.txt,1.9,0.14
BC 59.pdf,82.29,35.57,23.608040201005025,469,"platform: 23, details: 2, token: 20, confidential: 41, info: 2, introduction: 4, problem: 2, features: 5, experience: 12, operating: 10...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 59.pdf_repetitive_words_full_list.txt,2.97,0.1
BC 6.pdf,56.03,38.01,17.258899676375403,481,"blockchain: 172, white: 22, paper: 25, national: 10, archives: 11, records: 78, administration: 3, february: 5, introduction: 4, overview: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 6.pdf_repetitive_words_full_list.txt,2.57,0.1
BC 60.pdf,18.92,38.86,25.589595375722542,378,"intel: 49, corporation: 14, disclosure: 11, data: 47, contained: 12, sheet: 10, subject: 11, restriction: 13, first: 12, page: 10...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 60.pdf_repetitive_words_full_list.txt,2.51,0.08
BC 61.pdf,90.77,39.37,24.98173515981735,465,"white: 12, paper: 16, local: 26, regional: 17, governments: 29, digital: 77, identity: 71, helps: 13, build: 12, trust: 24...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 61.pdf_repetitive_words_full_list.txt,2.52,0.21
BC 62.pdf,7.42,45.56,10.762264150943397,220,"executive: 2, summary: 2, open: 35, banking: 40, connects: 2, banks: 6, technical: 3, providers: 3, enabling: 2, simply: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 62.pdf_repetitive_words_full_list.txt,35.57,0.21
BC 63.pdf,7.42,45.56,10.762264150943397,220,"executive: 2, summary: 2, open: 35, banking: 40, connects: 2, banks: 6, technical: 3, providers: 3, enabling: 2, simply: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 63.pdf_repetitive_words_full_list.txt,35.57,0.21
BC 64.pdf,6.97,35.88,21.206378986866792,1675,"blockchain: 309, africa: 70, opportunities: 6, challenges: 17, next: 6, decade: 2, african: 67, countries: 58, take: 7, advantage: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 64.pdf_repetitive_words_full_list.txt,2.16,0.27
BC 65.pdf,16.38,34.86,21.689320388349515,412,"education: 42, blockchain: 103, goes: 16, school: 20, leaders: 3, need: 15, proof: 3, secure: 5, distributed: 5, ledger: 4...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 65.pdf_repetitive_words_full_list.txt,2.66,0.23
BC 66.pdf,98.71,39.77,24.739583333333332,637,"technology: 20, research: 7, center: 2, designed: 6, government: 19, white: 6, paper: 17, enhancing: 7, democracy: 7, governance: 4...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Whitepapers\BC 66.pdf_repetitive_words_full_list.txt,2.63,0.25
